Context,N,Goal_Rate,Model,Brier,ECE,AUC
5v5 (Regular),115466,0.07048828226490915,MoneyPuck,0.05924768675577434,0.015009597937661295,0.7721719414540367
5v5 (Regular),115466,0.07048828226490915,LR (+ 3v3),0.06323207583702213,0.0021960432530617694,0.7037699244588353
3v3 (OT),1112,0.14298561151079137,MoneyPuck,0.11963027724698681,0.058303232077338125,0.6872438575303411
3v3 (OT),1112,0.14298561151079137,LR (+ 3v3),0.11759397670864029,0.020280171380845157,0.6663663901482905
